"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"other specified injury of right achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"53.73";"false";"false"
"other specified injury of right achilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"49.28";"false";"false"
"other specified injury of left achilles tendon";"Achilles tendon calcification";"http://purl.obolibrary.org/obo/HP_0025441";"56.6";"false";"false"
"other specified injury of right achilles tendon sequela";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"55.74";"false";"false"
"other specified injury of left achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"45.45";"false";"false"
"other specified injury of left achilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"43.84";"false";"false"
"laceration ofblood vessel at lower leg level";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"54.24";"false";"false"
"laceration ofblood vessel at lower leg level right leg";"Pedal edema";"http://purl.obolibrary.org/obo/HP_0010741";"48.98";"false";"false"
"laceration ofblood vessel at lower leg level right leg initial encounter";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"48.18";"false";"false"
"laceration ofblood vessel at lower leg level right leg subsequent encounter";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"47.48";"false";"false"
"laceration ofblood vessel at lower leg level right leg sequela";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"50.98";"false";"false"
"displaced transverse fracture of shaft of right fibula subsequent encounter for open fracture type i or ii with delayed healing";"Broad face";"http://purl.obolibrary.org/obo/HP_0000283";"40.22";"false";"false"
"laceration ofblood vessel at lower leg level left leg";"Pedal edema";"http://purl.obolibrary.org/obo/HP_0010741";"49.48";"false";"false"
"laceration ofblood vessel at lower leg levelleg initial encounter";"Hypoleucinemia";"http://purl.obolibrary.org/obo/HP_0500143";"46.73";"false";"false"
"laceration ofblood vessel at lower leg level left leg initial encounter";"Pedal edema";"http://purl.obolibrary.org/obo/HP_0010741";"45.05";"false";"false"
"laceration ofblood vessel at lower leg level left leg subsequent encounter";"Pedal edema";"http://purl.obolibrary.org/obo/HP_0010741";"46.02";"false";"false"
"laceration ofblood vessel at lower leg level left leg sequela";"Pedal edema";"http://purl.obolibrary.org/obo/HP_0010741";"49.52";"false";"false"
"laceration ofblood vessel at lower leg levelleg";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"51.61";"false";"false"
"other specified injury ofblood vessel at lower leg level";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"55.88";"false";"false"
"laceration ofblood vessel at lower leg levelleg subsequent encounter";"Blood pressure substantially higher in legs than arms";"http://purl.obolibrary.org/obo/HP_0020141";"48.94";"false";"false"
"laceration ofblood vessel at lower leg levelleg sequela";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"48.57";"false";"false"
"other specified injury ofblood vessel at lower leg level right leg";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"50.49";"false";"false"
"displaced transverse fracture of shaft of right fibula subsequent encounter for open fracture type iiia iiib or iiic with delayed healing";"Fractured fibula";"http://purl.obolibrary.org/obo/HP_0041222";"38.67";"false";"false"
"other specified injury ofblood vessel at lower leg level right leg initial encounter";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"47.95";"false";"false"
"other specified injury ofblood vessel at lower leg level right leg subsequent encounter";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"48.74";"false";"false"
"other specified injury ofblood vessel at lower leg level right leg sequela";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"52.25";"false";"false"
"other specified injury ofblood vessel at lower leg level left leg subsequent encounter";"Pulmonary arterial hypertension";"http://purl.obolibrary.org/obo/HP_0002092";"40.58";"false";"false"
"other specified injury ofblood vessel at lower leg level left leg";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"49.35";"false";"false"
"other specified injury ofblood vessel at lower leg level left leg initial encounter";"Hypoleucinemia";"http://purl.obolibrary.org/obo/HP_0500143";"44.26";"false";"false"
"other specified injury ofblood vessel at lower leg level left leg sequela";"Hyperserinemia";"http://purl.obolibrary.org/obo/HP_0500138";"47.27";"false";"false"
"other specified injury ofblood vessel at lower leg levelleg";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"53.52";"false";"false"
"other specified injury ofblood vessel at lower leg levelleg initial encounter";"Hypoleucinemia";"http://purl.obolibrary.org/obo/HP_0500143";"44.83";"false";"false"
"other specified injury ofblood vessel at lower leg levelleg subsequent encounter";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"43.68";"false";"false"
"displaced transverse fracture of shaft of right fibula subsequent encounter for closed fracture with nonunion";"Unilateral wrist flexion contracture";"http://purl.obolibrary.org/obo/HP_0012454";"38.98";"false";"false"
"other specified injury ofblood vessel at lower leg levelleg sequela";"Hyposerinemia";"http://purl.obolibrary.org/obo/HP_0012279";"48.1";"false";"false"
"injury of muscle fascia and tendon at lower leg level";"Lower limb hyperreflexia";"http://purl.obolibrary.org/obo/HP_0002395";"48.48";"false";"false"
"injury of achilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"78.79";"false";"false"
"injury of right achilles tendon";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"75.56";"false";"false"
"injury of right achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"61.02";"false";"false"
"injury of right achilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"55.74";"false";"false"
"injury of right achilles tendon sequela";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"64.15";"false";"false"
"injury of left achilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"68.42";"false";"false"
"injury of left achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"51.72";"false";"false"
"injury of left achilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"49.23";"false";"false"
"other fracture of shaft of right tibia subsequent encounter for closed fracture with delayed healing";"Recurrent fractures";"http://purl.obolibrary.org/obo/HP_0002757";"50.45";"false";"false"
"displaced transverse fracture of shaft of right fibula subsequent encounter for open fracture type i or ii with nonunion";"Recurrent upper respiratory tract infections";"http://purl.obolibrary.org/obo/HP_0002788";"38.03";"false";"false"
"injury ofachilles tendon sequela";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"55.81";"false";"false"
"injury of left achilles tendon sequela";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"56.52";"false";"false"
"injury ofachilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"68.57";"false";"false"
"injury ofachilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"50.91";"false";"false"
"injury ofachilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"48.39";"false";"false"
"strain of right achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"61.02";"false";"false"
"strain of achilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"78.79";"false";"false"
"strain of right achilles tendon";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"75.56";"false";"false"
"displaced transverse fracture of shaft of right fibula subsequent encounter for open fracture type iiia iiib or iiic with nonunion";"Fractured fibula";"http://purl.obolibrary.org/obo/HP_0041222";"39.1";"false";"false"
"strain of right achilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"55.74";"false";"false"
"strain of right achilles tendon sequela";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"64.15";"false";"false"
"strain of left achilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"68.42";"false";"false"
"strain of left achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"53.97";"false";"false"
"strain of left achilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"52.31";"false";"false"
"strain ofachilles tendon sequela";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"55.81";"false";"false"
"strain of left achilles tendon sequela";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"56.52";"false";"false"
"strain ofachilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"68.57";"false";"false"
"strain ofachilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"53.33";"false";"false"
"strain ofachilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"51.61";"false";"false"
"laceration of achilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"81.25";"false";"false"
"laceration of right achilles tendon";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"77.27";"false";"false"
"displaced transverse fracture of shaft of right fibula subsequent encounter for closed fracture with malunion";"Fractured fibula";"http://purl.obolibrary.org/obo/HP_0041222";"42.11";"false";"false"
"laceration of right achilles tendon sequela";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"65.38";"false";"false"
"laceration of right achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"62.07";"false";"false"
"laceration of right achilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"56.67";"false";"false"
"laceration of left achilles tendon sequela";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"57.78";"false";"false"
"laceration of left achilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"70.27";"false";"false"
"laceration of left achilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"54.84";"false";"false"
"laceration of left achilles tendon subsequent encounter";"Areflexia of lower limbs";"http://purl.obolibrary.org/obo/HP_0002522";"52.78";"false";"false"
"displaced transverse fracture of shaft of right fibula subsequent encounter for open fracture type i or ii with malunion";"Recurrent upper respiratory tract infections";"http://purl.obolibrary.org/obo/HP_0002788";"38.03";"false";"false"
"laceration ofachilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"70.59";"false";"false"
"laceration ofachilles tendon initial encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"54.24";"false";"false"
"laceration ofachilles tendon subsequent encounter";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"52.46";"false";"false"
"other specified injury of right achilles tendon";"Achilles tendon contracture";"http://purl.obolibrary.org/obo/HP_0001771";"64.15";"false";"false"
"laceration ofachilles tendon sequela";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"57.14";"false";"false"
"other specified injury of achilles tendon";"Achilles tendonitis";"http://purl.obolibrary.org/obo/HP_0025273";"63.41";"false";"false"
