"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"other specified protozoal diseases";"Slowly progressive";"http://purl.obolibrary.org/obo/HP_0003677";"50";"false";"false"
"protozoal disease";"Crohn's disease";"http://purl.obolibrary.org/obo/HP_0100280";"57.14";"false";"false"
"cholera";"Trichilemmoma";"http://purl.obolibrary.org/obo/HP_0012844";"45.45";"false";"false"
"typhoid osteomyelitis";"Osteomyelitis";"http://purl.obolibrary.org/obo/HP_0002754";"71.43";"false";"false"
"other tuberculosis of nervous system";"Neoplasm of the nervous system";"http://purl.obolibrary.org/obo/HP_0004375";"69.57";"false";"false"
"other acanthamebic disease";"Amyloidosis";"http://purl.obolibrary.org/obo/HP_0011034";"54.55";"false";"false"
"naegleriasis";"Single naris";"http://purl.obolibrary.org/obo/HP_0009932";"52.17";"false";"false"
"tuberculoma of brain and spinal cord";"Spinal cord tumor";"http://purl.obolibrary.org/obo/HP_0010302";"58.33";"false";"false"
"schistosomiasis bilharziasis";"Schistocytosis";"http://purl.obolibrary.org/obo/HP_0001981";"48.78";"false";"false"
"schistosomiasis due to schistosoma haematobium urinary schistosomiasis";"Schistocytosis";"http://purl.obolibrary.org/obo/HP_0001981";"39.56";"false";"false"
"schistosomiasis due to schistosoma mansoni intestinal schistosomiasis";"Schistocytosis";"http://purl.obolibrary.org/obo/HP_0001981";"40.91";"false";"false"
"schistosomiasis due to schistosoma japonicum";"Schistocytosis";"http://purl.obolibrary.org/obo/HP_0001981";"51.52";"false";"false"
"cercarial dermatitis";"Stasis dermatitis";"http://purl.obolibrary.org/obo/HP_0033564";"57.14";"false";"false"
"other schistosomiasis";"Schistocytosis";"http://purl.obolibrary.org/obo/HP_0001981";"68.97";"false";"false"
"echinococcosis";"Ecchymosis";"http://purl.obolibrary.org/obo/HP_0031364";"58.33";"false";"false"
"echinococcus granulosus infection of liver";"Recurrent Staphylococcus aureus infections";"http://purl.obolibrary.org/obo/HP_0002726";"49.28";"false";"false"
"schistosomiasis";"Schistocytosis";"http://purl.obolibrary.org/obo/HP_0001981";"68.97";"false";"false"
"other fluke infections";"Osteomyelitis";"http://purl.obolibrary.org/obo/HP_0002754";"64";"false";"false"
"opisthorchiasis";"Distichiasis";"http://purl.obolibrary.org/obo/HP_0009743";"59.26";"false";"false"
"clonorchiasis";"Monorchism";"http://purl.obolibrary.org/obo/HP_0030868";"52.17";"false";"false"
"dicroceliasis";"Celiac disease";"http://purl.obolibrary.org/obo/HP_0002608";"51.85";"false";"false"
"fascioliasis";"Fasciitis";"http://purl.obolibrary.org/obo/HP_0100537";"57.14";"false";"false"
"paragonimiasis";"Parageusia";"http://purl.obolibrary.org/obo/HP_0031249";"56";"false";"false"
"fasciolopsiasis";"Eosinophilic fasciitis";"http://purl.obolibrary.org/obo/HP_0045029";"45.71";"false";"false"
"other specified fluke infections";"Osteomyelitis";"http://purl.obolibrary.org/obo/HP_0002754";"48.48";"false";"false"
"fluke infection";"Osteomyelitis";"http://purl.obolibrary.org/obo/HP_0002754";"64";"false";"false"
"tuberculous meningoencephalitis";"Meningoencephalocele";"http://purl.obolibrary.org/obo/HP_0006888";"65.12";"false";"false"
"echinococcus granulosus infection";"Eosinophilic granuloma";"http://purl.obolibrary.org/obo/HP_0032253";"48";"false";"false"
"echinococcus multilocularis infection of liver";"Abnormality of inferior rectus extraocular muscle";"http://purl.obolibrary.org/obo/HP_3000058";"48.1";"false";"false"
"echinococcus granulosus infection of lung";"Recurrent sinopulmonary infections";"http://purl.obolibrary.org/obo/HP_0005425";"58.62";"false";"false"
"echinococcus granulosus infection of bone";"Recurrent Staphylococcus aureus infections";"http://purl.obolibrary.org/obo/HP_0002726";"47.06";"false";"false"
"echinococcus granulosus infection other and multiple sites";"Unusual infection by anatomical site";"http://purl.obolibrary.org/obo/HP_0032158";"47.76";"false";"false"
"echinococcus granulosus infection thyroid gland";"Ectopic thyroid";"http://purl.obolibrary.org/obo/HP_0100028";"53.97";"false";"false"
"echinococcus granulosus infection multiple sites";"Unusual infection by anatomical site";"http://purl.obolibrary.org/obo/HP_0032158";"47.76";"false";"false"
"echinococcus granulosus infection other sites";"Unusual infection by anatomical site";"http://purl.obolibrary.org/obo/HP_0032158";"54.24";"false";"false"
"taenia saginata taeniasis";"Aplasia of the vagina";"http://purl.obolibrary.org/obo/HP_0003250";"45";"false";"false"
"tuberculosis of other organs";"Pulmonary tuberculosis";"http://purl.obolibrary.org/obo/HP_0032262";"60";"false";"false"
"tuberculous neuritis";"Neuritis";"http://purl.obolibrary.org/obo/HP_0031002";"64";"false";"false"
"echinococcus multilocularis infection other and multiple sites";"Multiple muscular ventricular septal defects";"http://purl.obolibrary.org/obo/HP_0011625";"49.44";"false";"false"
"echinococcus multilocularis infection multiple sites";"Multiple muscular ventricular septal defects";"http://purl.obolibrary.org/obo/HP_0011625";"49.44";"false";"false"
"echinococcus multilocularis infection other sites";"Recurrent sinopulmonary infections";"http://purl.obolibrary.org/obo/HP_0005425";"51.52";"false";"false"
"echinococcus multilocularis infection";"Recurrent pneumonia";"http://purl.obolibrary.org/obo/HP_0006532";"55.17";"false";"false"
"echinococcosisof liver";"Eosinophilic liver infiltration";"http://purl.obolibrary.org/obo/HP_0032021";"50";"false";"false"
"taeniasis";"Absent penis";"http://purl.obolibrary.org/obo/HP_0030261";"54.55";"false";"false"
"echinococcosis other and";"Ecchymosis";"http://purl.obolibrary.org/obo/HP_0031364";"58.33";"false";"false"
"other echinococcosis";"Ecchymosis";"http://purl.obolibrary.org/obo/HP_0031364";"58.33";"false";"false"
"taenia solium taeniasis";"Calcium nephrolithiasis";"http://purl.obolibrary.org/obo/HP_0004724";"39.13";"false";"false"
"tuberculosis of bones and joints";"Pulmonary tuberculosis";"http://purl.obolibrary.org/obo/HP_0032262";"57.78";"false";"false"
"cysticercosis";"Renal cortical cysts";"http://purl.obolibrary.org/obo/HP_0000803";"56";"false";"false"
"cysticercosis of central nervous system";"Central nervous system cyst";"http://purl.obolibrary.org/obo/HP_0030724";"83.87";"false";"false"
"cysticercosis of eye";"Eosinophilic bladder infiltration";"http://purl.obolibrary.org/obo/HP_0032020";"51.43";"false";"false"
"cysticercosis of other sites";"Colonic stenosis";"http://purl.obolibrary.org/obo/HP_0012851";"50";"false";"false"
"myositis in cysticercosis";"Myositis";"http://purl.obolibrary.org/obo/HP_0100614";"55.17";"false";"false"
"diphyllobothriasis and sparganosis";"Spondyloepiphyseal dysplasia";"http://purl.obolibrary.org/obo/HP_0002655";"40";"false";"false"
"diphyllobothriasis";"Peripheral thrombosis";"http://purl.obolibrary.org/obo/HP_0002641";"43.24";"false";"false"
"sparganosis";"Pansynostosis";"http://purl.obolibrary.org/obo/HP_0011325";"50";"false";"false"
"other cestode infections";"Recurrent skin infections";"http://purl.obolibrary.org/obo/HP_0001581";"59.26";"false";"false"
"hymenolepiasis";"Glenoid fossa hypoplasia";"http://purl.obolibrary.org/obo/HP_0006633";"48.48";"false";"false"
"malignant neoplasm of hypopharynx";"Hypoplasia of the pharynx";"http://purl.obolibrary.org/obo/HP_0009555";"63.83";"false";"false"
"malignant neoplasm of superior wall of nasopharynx";"Neoplasia of the nasopharynx";"http://purl.obolibrary.org/obo/HP_0100630";"66.67";"false";"false"
"malignant neoplasm of posterior wall of nasopharynx";"Neoplasia of the nasopharynx";"http://purl.obolibrary.org/obo/HP_0100630";"65.62";"false";"false"
"tuberculosis of eye";"Pulmonary tuberculosis";"http://purl.obolibrary.org/obo/HP_0032262";"64.86";"false";"false"
"malignant neoplasm of lateral wall of nasopharynx";"Neoplasia of the nasopharynx";"http://purl.obolibrary.org/obo/HP_0100630";"70";"false";"false"
"malignant neoplasm of anterior wall of nasopharynx";"Neoplasia of the nasopharynx";"http://purl.obolibrary.org/obo/HP_0100630";"66.67";"false";"false"
"malignant neoplasm of overlapping sites of nasopharynx";"Neoplasia of the nasopharynx";"http://purl.obolibrary.org/obo/HP_0100630";"67.74";"false";"false"
"malignant neoplasm of pyriform sinus";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"65.31";"false";"false"
"tuberculous episcleritis";"Episcleritis";"http://purl.obolibrary.org/obo/HP_0100534";"66.67";"false";"false"
"malignant neoplasm of postcricoid region";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"62.96";"false";"false"
"malignant neoplasm of aryepiglottic fold hypopharyngeal aspect";"Aplastic/Hypoplastic nasopharyngeal adenoids";"http://purl.obolibrary.org/obo/HP_0040256";"51.69";"false";"false"
"malignant neoplasm of posterior wall of hypopharynx";"Short middle phalanx of the 4th finger";"http://purl.obolibrary.org/obo/HP_0009295";"56.47";"false";"false"
"malignant neoplasm of overlapping sites of hypopharynx";"Hypoplasia of the pharynx";"http://purl.obolibrary.org/obo/HP_0009555";"53.33";"false";"false"
"malignant neoplasm of other and ill-defined sites in the lip oral cavity and pharynx";"Neoplasm of the oral cavity";"http://purl.obolibrary.org/obo/HP_0100649";"55.26";"false";"false"
"malignant neoplasm of overlapping sites of esophagus";"Esophageal neoplasm";"http://purl.obolibrary.org/obo/HP_0100751";"58.18";"false";"false"
"malignant neoplasm of pharynx";"Neoplasm of the pharynx";"http://purl.obolibrary.org/obo/HP_0100638";"82.93";"false";"false"
"malignant neoplasm of waldeyers ring";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"68.09";"false";"false"
"malignant neoplasm of overlapping sites of lip oral cavity and pharynx";"Neoplasm of the oral cavity";"http://purl.obolibrary.org/obo/HP_0100649";"56.76";"false";"false"
"malignant neoplasm of esophagus";"Esophageal neoplasm";"http://purl.obolibrary.org/obo/HP_0100751";"76.19";"false";"false"
"malignant neoplasm of upper third of esophagus";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"57.14";"false";"false"
"malignant neoplasm of middle third of esophagus";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"57.14";"false";"false"
"malignant neoplasm of lower third of esophagus";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"57.14";"false";"false"
"malignant neoplasm of greater curvature of stomach";"Neoplasm of the stomach";"http://purl.obolibrary.org/obo/HP_0006753";"58.62";"false";"false"
"malignant neoplasm of stomach";"Neoplasm of the stomach";"http://purl.obolibrary.org/obo/HP_0006753";"82.93";"false";"false"
"malignant neoplasm of cardia";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"80.95";"false";"false"
"tuberculous keratitis";"Keratitis";"http://purl.obolibrary.org/obo/HP_0000491";"57.14";"false";"false"
"malignant neoplasm of fundus of stomach";"Neoplasm of the stomach";"http://purl.obolibrary.org/obo/HP_0006753";"72.34";"false";"false"
"malignant neoplasm of body of stomach";"Neoplasm of the stomach";"http://purl.obolibrary.org/obo/HP_0006753";"73.91";"false";"false"
"malignant neoplasm of pyloric antrum";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"66.67";"false";"false"
"malignant neoplasm of pylorus";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"76.19";"false";"false"
"malignant neoplasm of lesser curvature of stomach";"Neoplasm of the stomach";"http://purl.obolibrary.org/obo/HP_0006753";"59.65";"false";"false"
"malignant neoplasm of ileum";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"78.05";"false";"false"
"meckels diverticulum malignant";"Meckel diverticulum";"http://purl.obolibrary.org/obo/HP_0002245";"85.11";"false";"false"
"malignant neoplasm of overlapping sites of stomach";"Neoplasm of the stomach";"http://purl.obolibrary.org/obo/HP_0006753";"62.96";"false";"false"
"malignant neoplasm of small intestine";"Neoplasm of the small intestine";"http://purl.obolibrary.org/obo/HP_0100833";"87.27";"false";"false"
"malignant neoplasm of duodenum";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"72.73";"false";"false"
"malignant neoplasm of jejunum";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"74.42";"false";"false"
"tuberculous chorioretinitis";"Chorioretinitis";"http://purl.obolibrary.org/obo/HP_0012424";"72.73";"false";"false"
"malignant neoplasm of hepatic flexure";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"66.67";"false";"false"
"malignant neoplasm of overlapping sites of small intestine";"Neoplasm of the small intestine";"http://purl.obolibrary.org/obo/HP_0100833";"70.59";"false";"false"
"malignant neoplasm of colon";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"87.8";"false";"false"
"malignant neoplasm of cecum";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"82.93";"false";"false"
"malignant neoplasm of appendix";"Appendiceal mucinous neoplasm";"http://purl.obolibrary.org/obo/HP_0031499";"73.47";"false";"false"
"malignant neoplasm of ascending colon";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"75";"false";"false"
"tuberculosis of spine";"Pulmonary tuberculosis";"http://purl.obolibrary.org/obo/HP_0032262";"60";"false";"false"
"onchocerciasis without eye disease";"Increased RBC distribution width";"http://purl.obolibrary.org/obo/HP_0031965";"40";"false";"false"
"dipylidiasis";"Bifid penis";"http://purl.obolibrary.org/obo/HP_0100599";"45.45";"false";"false"
"other specified cestode infections";"Respiratory tract infection";"http://purl.obolibrary.org/obo/HP_0011947";"53.66";"false";"false"
"cestode infection";"Recurrent skin infections";"http://purl.obolibrary.org/obo/HP_0001581";"59.26";"false";"false"
"dracunculiasis";"Thick hair";"http://purl.obolibrary.org/obo/HP_0100874";"39.02";"false";"false"
"onchocerciasis";"Bronchocele";"http://purl.obolibrary.org/obo/HP_0033653";"48";"false";"false"
"onchocerciasis with eye disease";"Coronary artery atherosclerosis";"http://purl.obolibrary.org/obo/HP_0001677";"45";"false";"false"
"onchocerciasis with eye involvement";"Abnormally large globe";"http://purl.obolibrary.org/obo/HP_0001090";"40";"false";"false"
"onchocerciasis with endophthalmitis";"Mitochondrial encephalopathy";"http://purl.obolibrary.org/obo/HP_0006789";"56.6";"false";"false"
"onchocerciasis with glaucoma";"Bronchomalacia";"http://purl.obolibrary.org/obo/HP_0002780";"52.63";"false";"false"
"onchocerciasis with other eye involvement";"Abnormally large globe";"http://purl.obolibrary.org/obo/HP_0001090";"40";"false";"false"
"tuberculous arthritis of other joints";"Acute tubulointerstitial nephritis";"http://purl.obolibrary.org/obo/HP_0004729";"58.18";"false";"false"
"ancylostomiasis";"Astrocytosis";"http://purl.obolibrary.org/obo/HP_0002446";"59.26";"false";"false"
"filariasis";"Fibular aplasia";"http://purl.obolibrary.org/obo/HP_0002990";"53.85";"false";"false"
"filariasis due to wuchereria bancrofti";"Intrahepatic biliary atresia";"http://purl.obolibrary.org/obo/HP_0005248";"41.79";"false";"false"
"filariasis due to brugia malayi";"Mesangial fibrillary deposits";"http://purl.obolibrary.org/obo/HP_0033545";"47.27";"false";"false"
"filariasis due to brugia timori";"Mesangial fibrillary deposits";"http://purl.obolibrary.org/obo/HP_0033545";"47.27";"false";"false"
"loiasis";"Amyloidosis";"http://purl.obolibrary.org/obo/HP_0011034";"44.44";"false";"false"
"mansonelliasis";"Transient neonatal diabetes mellitus";"http://purl.obolibrary.org/obo/HP_0008255";"43.48";"false";"false"
"other filariases";"Fibular aplasia";"http://purl.obolibrary.org/obo/HP_0002990";"48";"false";"false"
"trichinellosis";"Trichiasis";"http://purl.obolibrary.org/obo/HP_0001128";"66.67";"false";"false"
"hookworm diseases";"Hodgkin lymphoma";"http://purl.obolibrary.org/obo/HP_0012189";"58.06";"false";"false"
"cutaneous strongyloidiasis";"Cutaneous amyloidosis";"http://purl.obolibrary.org/obo/HP_0012309";"61.54";"false";"false"
