hpo_code	hpo_label	hpo_simpleLabel	hpo_original	ICD9_code	ICD9_label	ICD9_simpleLabel	phecode1.2_codeList	phecodeX_codeList	phecodeXupdated_codeList
HP_0000107	Renal cyst	renal cyst	True	593.2	Cyst of kidney, acquired	cyst of kidney acquired	['586', '586.2']	['586', '586.2']	['GU_586.2']
HP_0000107	Kidney cyst	kidney cyst	False	593.2	Cyst of kidney, acquired	cyst of kidney acquired	['586', '586.2']	['586', '586.2']	['GU_586.2']
HP_0000010	Urinary tract infections	urinary tract infections	False	599.0	Urinary tract infection, site not specified	urinary tract infection site not specified	['591']	['591']	['GU_591']
HP_0000011	Neurogenic bladder	neurogenic bladder	True	596.54	Neurogenic bladder NOS	neurogenic bladder	['596', '596.5']	['596', '596.5']	['GU_596.5']
HP_0000012	Overactive bladder	overactive bladder	False	596.51	Hypertonicity of bladder	hypertonicity of bladder	['596', '596.5']	['596', '596.2']	['GU_596.2']
HP_0000012	Overactive bladder	overactive bladder	False	788.31	Urge incontinence	urge incontinence	['599', '599.4']	['594', '594.3', '594.31']	['GU_594.31']
HP_0000013	Rudimentary uterus	rudimentary uterus	False	752.2	Doubling of uterus	doubling of uterus	['751', '751.1', '751.11']	['770', '770.3', '770.32']	['CM_760.132']
HP_0001153	Septate vagina	septate vagina	True	752.2	Doubling of uterus	doubling of uterus	['751', '751.1', '751.11']	['770', '770.3', '770.32']	['CM_760.132']
HP_0000013	Rudimentary uterus	rudimentary uterus	False	752.3	Other congenital anomalies of uterus	other congenital anomalies of uterus	['751', '751.1', '751.11']	['770', '770.3']	['CM_760.13']
HP_0001153	Septate vagina	septate vagina	True	752.3	Other congenital anomalies of uterus	other congenital anomalies of uterus	['751', '751.1', '751.11']	['770', '770.3']	['CM_760.13']
HP_0000016	Urinary retention	urinary retention	True	788.2	Retention of urine	retention of urine	['599.2']	['594', '594.1']	['GU_594.1']
HP_0000019	Urinary hesitancy	urinary hesitancy	True	788.2	Retention of urine	retention of urine	['599.2']	['594', '594.1']	['GU_594.1']
HP_0000017	Nocturia	nocturia	True	788.43	Nocturia	nocturia	['599', '599.5']	['594', '594.4', '594.41']	['GU_594.41']
HP_0000017	Nycturia	nycturia	False	788.43	Nocturia	nocturia	['599', '599.5']	['594', '594.4', '594.41']	['GU_594.41']
HP_0000020	Urinary incontinence	urinary incontinence	True	788.3	Urinary incontinence	urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000020	Bladder incontinence	bladder incontinence	False	788.3	Urinary incontinence	urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000023	Inguinal hernia	inguinal hernia	True	550	Inguinal hernia	inguinal hernia	['550', '550.1']	['520', '520.1', '520.11']	['GI_520.11']
HP_0000024	Prostatitis	prostatitis	True	601	Inflammatory diseases of prostate	inflammatory diseases of prostate	['601']	['601']	['GU_602.5']
HP_0000026	Male hypogonadism	male hypogonadism	True	257.2	Other testicular hypofunction	other testicular hypofunction	['257', '257.1']	['215', '215.1']	['EM_215.1']
HP_0000135	Hypogonadism	hypogonadism	True	257.2	Other testicular hypofunction	other testicular hypofunction	['257', '257.1']	['215', '215.1']	['EM_215.1']
HP_0003241	Hypogenitalism	hypogenitalism	False	257.2	Other testicular hypofunction	other testicular hypofunction	['257', '257.1']	['215', '215.1']	['EM_215.1']
HP_0000027	Azoospermia	azoospermia	True	606.0	Azoospermia	azoospermia	['609', '609.1', '609.11']	['609', '609.1']	['GU_609.1']
HP_0008669	Impaired spermatogenesis	impaired spermatogenesis	False	606.1	Oligospermia	oligospermia	['609', '609.1', '609.11']	['609', '609.2']	['GU_609.2']
HP_0000028	Cryptorchidism	cryptorchidism	True	752.5	Undescended and retractile testicle	undescended and retractile testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0000028	Cryptorchism	cryptorchism	False	752.5	Undescended and retractile testicle	undescended and retractile testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0000028	Undescended testes	undescended testes	False	752.5	Undescended and retractile testicle	undescended and retractile testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0000028	Undescended testis	undescended testis	False	752.5	Undescended and retractile testicle	undescended and retractile testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0010788	Testicular tumor	testicular tumor	False	186.9	Malignant neoplasm of other and unspecified testis	malignant neoplasm of other andtestis	['187', '187.2']	['107', '107.3', '130']	['CA_107.3', 'CA_130']
HP_0010788	Testicular tumour	testicular tumor	False	186.9	Malignant neoplasm of other and unspecified testis	malignant neoplasm of other andtestis	['187', '187.2']	['107', '107.3', '130']	['CA_107.3', 'CA_130']
HP_0000031	Epididymitis	epididymitis	True	604	Orchitis and epididymitis	orchitis and epididymitis	['601', '601.3']	['603', '603.5']	['GU_603.5']
HP_0000034	Hydrocele testis	hydrocele testis	True	603	Hydrocele	hydrocele	['603', '603.1']	['603', '603.1']	['GU_603.1']
HP_0000037	Male pseudohermaphroditism	male pseudohermaphroditism	True	752.7	Indeterminate sex and pseudohermaphroditism	indeterminate sex and pseudohermaphroditism	['751', '751.1']	['772']	['CM_760.3']
HP_0000039	Epispadias	epispadias	True	752.62	Epispadias	epispadias	['751', '751.1', '751.12']	['771', '771.2', '771.27']	['CM_760.227']
HP_0000041	Chordee	chordee	True	752.63	Congenital chordee	congenital chordee	['751', '751.1', '751.12']	['771', '771.2', '771.22']	['CM_760.222']
HP_0000047	Hypospadias	hypospadias	True	752.61	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']	['CM_760.221']
HP_0000047	Hypospadia	hypospadia	False	752.61	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']	['CM_760.221']
HP_0000051	Perineal hypospadias	perineal hypospadias	True	752.61	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']	['CM_760.221']
HP_0000054	Micropenis	micropenis	True	752.64	Micropenis	micropenis	['751', '751.1', '751.12']	['771', '771.2', '771.23']	['CM_760.223']
HP_0000054	Short penis	short penis	False	752.64	Micropenis	micropenis	['751', '751.1', '751.12']	['771', '771.2', '771.23']	['CM_760.223']
HP_0000070	Ureterocele	ureterocele	True	593.89	Other specified disorders of kidney and ureter	other specified disorders of kidney and ureter	['586']	['586']	['GU_586']
HP_0000072	Megaureter	megaureter	False	593.89	Other specified disorders of kidney and ureter	other specified disorders of kidney and ureter	['586']	['586']	['GU_586']
HP_0000070	Ureterocele	ureterocele	True	753.23	Congenital ureterocele	congenital ureterocele	['751', '751.3']	['774', '774.2']	['CM_761.212']
