ICD9_code	ICD9_label	ICD9_simpleLabel	hpo_code	hpo_label	SORTA_score	phecode1.2_codeList	phecodeX_codeList
003	Other salmonella infections	other salmonella infections	HP_0005661	Salmonella osteomyelitis	87.8	['008', '008.5']	['001', '089', '089.1']
003.24	Salmonella osteomyelitis	salmonella osteomyelitis	HP_0005661	Salmonella osteomyelitis	100.0	['710', '710.1']	['001', '089', '089.1', '701', '701.1']
003.9	Salmonella infection, unspecified	salmonella infection	HP_0005661	Salmonella osteomyelitis	87.8	['008', '008.5']	['001', '089', '089.1']
006.3	Amebic liver abscess	amebic liver abscess	HP_0100523	Liver abscess	84.85	['008']	['084', '084.1', '546']
006.4	Amebic lung abscess	amebic lung abscess	HP_0025044	Lung abscess	83.87	['008']	['084', '084.1', '482', '482.1', '482.11']
006.5	Amebic brain abscess	amebic brain abscess	HP_0030049	Brain abscess	84.85	['008']	['084', '084.1', '322', '322.4']
006.6	Amebic skin ulceration	amebic skin ulceration	HP_0200042	Skin ulcer	81.48	['008']	['084', '084.1']
011	Pulmonary tuberculosis	pulmonary tuberculosis	HP_0032262	Pulmonary tuberculosis	100.0	['010']	['005', '005.1', '089', '089.1', '460']
011.9	Unspecified pulmonary tuberculosis	pulmonary tuberculosis	HP_0032262	Pulmonary tuberculosis	100.0	['010']	['005', '005.1', '089', '089.1', '460']
033	Whooping cough	whooping cough	HP_0031247	Whooping cough	100.0	['041']	['024', '089', '089.1']
035	Erysipelas	erysipelas	HP_0001055	Erysipelas	100.0	['686']	['004', '089', '089.1', '660', '660.2', '660.23']
038.12	Methicillin resistant Staphylococcus aureus septicemia	methicillin resistant staphylococcus aureus septicemia	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	81.25	['038', '038.2']	['002', '002.1', '089', '089.1', '092', '092.2', '097', '097.1']
040.0	Gas gangrene	gas gangrene	HP_0100758	Gangrene	84.21	['041']	['015', '089', '089.1', '091']
046.3	Progressive multifocal leukoencephalopathy	progressive multifocal leukoencephalopathy	HP_0006980	Progressive leukoencephalopathy	86.57	['324']	['069', '089', '089.2', '322', '322.2']
046.9	Unspecified slow virus infection of central nervous system	slow virus infection of central nervous system	HP_0011450	Unusual CNS infection	85.29	['324']	['089', '089.2', '322']
055.71	Measles keratoconjunctivitis	measles keratoconjunctivitis	HP_0001096	Keratoconjunctivitis	83.33	['369', '369.2']	['065', '089', '089.2', '367', '367.3']
070	Viral hepatitis	viral hepatitis	HP_0006562	Viral hepatitis	100.0	['070']	['054', '089', '089.2', '540', '540.3']
070.7	Unspecified viral hepatitis C	viral hepatitis c	HP_0006562	Viral hepatitis	92.31	['070', '070.3']	['054', '054.3', '089', '089.2', '540', '540.3']
072.72	Mumps polyneuropathy	mumps polyneuropathy	HP_0001271	Polyneuropathy	85.71	['079']	['066', '089', '089.2', '337', '337.5']
075	Infectious mononucleosis	infectious mononucleosis	HP_0031693	Severe Epstein Barr virus infection	85.71	['079', '079.2']	['052', '052.4', '089', '089.2']
075	Infectious mononucleosis	infectious mononucleosis	HP_0031693	Severe Epstein Barr virus infection	85.71	['079', '079.2']	['052', '052.4', '089', '089.2']
077.1	Epidemic keratoconjunctivitis	epidemic keratoconjunctivitis	HP_0001096	Keratoconjunctivitis	81.08	['369', '369.2']	['060', '089', '089.2', '367', '367.3', '379', '379.2']
078.0	Molluscum contagiosum	molluscum contagiosum	HP_0032163	Molluscum contagiosum	100.0	['079']	['055', '055.1', '089', '089.2']
078.12	Plantar wart	plantar wart	HP_0033005	Plantar warts	100.0	['078']	['056', '056.1', '089', '089.2']
079.99	Unspecified viral infection	viral infection	HP_0031691	Severe viral infection	81.25	['079']	['089', '089.2']
083.0	Q fever	q fever	HP_0001945	Fever	85.71	['480', '480.1']	['041', '089', '089.1']
094.85	Syphilitic retrobulbar neuritis	syphilitic retrobulbar neuritis	HP_0100654	Retrobulbar optic neuritis	81.63	['090']	['019', '088', '089', '089.1']
110	Dermatophytosis	dermatophytosis	HP_0032515	Deep dermatophytosis	85.71	['110']	['089', '089.3', '660', '660.1', '660.12']
110.6	Deep seated dermatophytosis	deep seated dermatophytosis	HP_0032515	Deep dermatophytosis	88.89	['110', '110.1']	['089', '089.3', '660', '660.1', '660.12']
112.82	Candidal otitis externa	candidal otitis externa	HP_0410017	Otitis externa	80.0	['112']	['070', '089', '089.3', '390', '390.1']
112.84	Candidal esophagitis	candidal esophagitis	HP_0033351	Candida esophagitis	90.32	['112']	['070', '089', '089.3', '510', '510.2']
114	Coccidioidomycosis	coccidioidomycosis	HP_0032249	Coccidioidomycosis	100.0	['117', '117.2']	['071', '089', '089.3']
114.2	Coccidioidal meningitis	coccidioidal meningitis	HP_0032161	Coccidioidal meningitis	100.0	['320']	['071', '089', '089.3', '320', '320.1', '320.13']
114.9	Coccidioidomycosis, unspecified	coccidioidomycosis	HP_0032249	Coccidioidomycosis	100.0	['117', '117.2']	['071', '089', '089.3']
115	Histoplasmosis	histoplasmosis	HP_0032256	Histoplasmosis	100.0	['117', '117.1']	['072', '089', '089.3']
